x,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,1,1.3,1.6,2,2.5,3,4,6,8
y,-0.1,-0.2,-0.3,-0.4,-0.5,-0.6,-0.7,-0.8,-1,-1.3,-1.6,-2,-2.5,-3,-4,-6,-8
x0,0.6,0.7,0.8,1,1.3,1.6,2,2.5,3,4,6,8,,,,,
y0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,,,,,
x1,0.5,0.6,0.7,0.8,1,1.3,1.6,2,2.5,3,4,6,8,,,,
y1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,,,,
x2,0.5,0.6,0.7,0.8,1,1.3,1.6,2,2.5,3,4,6,8,,,,
y2,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,,,,
x3,0.4,0.5,0.6,0.7,0.8,1,1.3,1.6,2,2.5,3,4,6,8,,,
y3,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,,,
x4,0.2,0.3,0.4,0.5,0.6,0.7,0.8,1,1.3,1.6,2,2.5,3,4,6,8,
y4,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,
x5,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,1,1.3,1.6,2,2.5,3,4,6,8
y5,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6
x6,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,1,1.3,1.6,2,2.5,3,4,6,8
y6,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7
x7,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,1,1.3,1.6,2,2.5,3,4,6,8
y7,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8
x8,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,1,1.3,1.6,2,2.5,3,4,6,8
y8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
x9,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,1,1.3,1.6,2,2.5,3,4,6,8
y9,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3
x10,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,1,1.3,1.6,2,2.5,3,4,6,8
y10,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6
x11,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,1,1.3,1.6,2,2.5,3,4,6,8
y11,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
x12,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,1,1.3,1.6,2,2.5,3,4,6,8
y12,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5
x13,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,1,1.3,1.6,2,2.5,3,4,6,8
y13,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
x14,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,1,1.3,1.6,2,2.5,3,4,6,8
y14,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
x15,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,1,1.3,1.6,2,2.5,3,4,6,8
y15,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
x16,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,1,1.3,1.6,2,2.5,3,4,6,8
y16,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8
